"filename", "language", "Python", "JSON", "XML", "JavaScript", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/src/index.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 3, 3, 27
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/src/logo.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/src/pages/About.js", "JavaScript", 0, 0, 0, 23, 0, 0, 0, 0, 4, 27
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/src/pages/Home.js", "JavaScript", 0, 0, 0, 35, 0, 0, 0, 0, 6, 41
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/src/pages/Landing.js", "JavaScript", 0, 0, 0, 87, 0, 0, 0, 0, 5, 92
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/src/pages/Shapes.js", "JavaScript", 0, 0, 0, 150, 0, 0, 0, 1, 17, 168
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/src/pages/True.js", "JavaScript", 0, 0, 0, 70, 0, 0, 0, 0, 8, 78
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/src/pages/VSEPR.js", "JavaScript", 0, 0, 0, 93, 0, 0, 0, 23, 14, 130
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/src/pages/asettings.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/src/pages/jsmol.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 5, 25
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/src/pages/landingstyles.css", "CSS", 0, 0, 0, 0, 214, 0, 0, 18, 20, 252
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/src/pages/use-smooth-transform.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/src/reportWebVitals.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/src/setupTests.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 4, 1, 6
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/presentation.md", "Markdown", 0, 0, 0, 0, 0, 65, 0, 0, 32, 97
"Total", "-", 47, 26624, 1, 53122, 1919, 103, 355, 6262, 7154, 95587
